,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,0.04274506568908691,0.0027728583059902566,0.010642576217651366,0.0018411789299904522,5,0.5,auto,sigmoid,"{'C': 5, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.76,0.84,0.76,0.88,0.86,0.8200000000000001,0.050596442562694056,40
33,0.03371353149414062,0.0018893708339850343,0.01090693473815918,0.00288231690259747,5,0.5,scale,linear,"{'C': 5, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
34,0.06967606544494628,0.018772026224346122,0.027613258361816405,0.009874599620234587,5,0.5,scale,rbf,"{'C': 5, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.9,0.93,0.86,0.92,0.89,0.9,0.024494897427831803,1
35,0.06711959838867188,0.017121512661099302,0.016954565048217775,0.0037918819279216683,5,0.5,scale,sigmoid,"{'C': 5, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.55,0.63,0.58,0.66,0.62,0.6080000000000001,0.038678159211627434,45
36,0.03634686470031738,0.010211388159234025,0.014330101013183594,0.003255027766841792,10,0.01,auto,linear,"{'C': 10, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
37,0.03609099388122559,0.008554812816051045,0.02107272148132324,0.00720214277947636,10,0.01,auto,rbf,"{'C': 10, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.9,0.93,0.83,0.91,0.87,0.8880000000000001,0.03487119154832542,10
38,0.034386491775512694,0.007205861548360992,0.01072835922241211,0.003668998392145396,10,0.01,auto,sigmoid,"{'C': 10, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.84,0.92,0.83,0.89,0.86,0.868,0.03310589071449373,34
39,0.03535394668579102,0.007684011026270059,0.010878801345825195,0.0019129549304768962,10,0.01,scale,linear,"{'C': 10, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
40,0.07446937561035157,0.01724555866205814,0.03576350212097168,0.0055666102230626305,10,0.01,scale,rbf,"{'C': 10, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.9,0.93,0.86,0.92,0.89,0.9,0.024494897427831803,1
41,0.04984946250915527,0.010082506958006558,0.014422464370727538,0.003585362131173668,10,0.01,scale,sigmoid,"{'C': 10, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.74,0.79,0.75,0.87,0.78,0.7860000000000001,0.04586937976471886,41
42,0.03165006637573242,0.0060387806025248465,0.00914626121520996,0.0017635160494087515,10,10.0,auto,linear,"{'C': 10, 'coef0': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
43,0.050564813613891604,0.01082923638912247,0.02808985710144043,0.004911125777350531,10,10.0,auto,rbf,"{'C': 10, 'coef0': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9,0.93,0.83,0.91,0.87,0.8880000000000001,0.03487119154832542,10
