,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002802753448486328,0.0006596318964588642,0.0,0.0,0.001,constant,squared_error,l2,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l2'}",,,,,,,,28
1,0.0009745597839355469,0.00019213849014512353,0.0,0.0,0.001,constant,squared_error,l1,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l1'}",,,,,,,,28
2,0.0007514476776123047,2.3653430210915173e-05,0.0,0.0,0.001,constant,squared_error,elasticnet,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'elasticnet'}",,,,,,,,28
3,0.0008545875549316406,0.0001671568692002164,0.0,0.0,0.001,constant,huber,l2,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l2'}",,,,,,,,28
4,0.0008585453033447266,0.00023391081425746448,0.0,0.0,0.001,constant,huber,l1,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l1'}",,,,,,,,28
5,0.0008265972137451172,6.103198967110331e-05,0.0,0.0,0.001,constant,huber,elasticnet,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'elasticnet'}",,,,,,,,28
6,0.0007541656494140625,1.986151264313675e-05,0.0,0.0,0.001,constant,epsilon_insensitive,l2,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",,,,,,,,28
7,0.0008984565734863281,0.0002171596518083385,0.0,0.0,0.001,constant,epsilon_insensitive,l1,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",,,,,,,,28
8,0.0012771129608154298,1.79290771484375e-05,0.0,0.0,0.001,constant,epsilon_insensitive,elasticnet,"{'alpha': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",,,,,,,,28
9,0.8080359935760498,0.19984559487798464,0.001988506317138672,0.0005637143513676139,0.001,optimal,squared_error,l2,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'squared_error', 'penalty': 'l2'}",0.14,0.12,0.11,0.13,0.08,0.11599999999999999,0.020591260281974003,16
10,1.8675735950469972,0.46187827576552454,0.002464008331298828,0.0007193385011570712,0.001,optimal,squared_error,l1,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'squared_error', 'penalty': 'l1'}",0.03,0.12,0.11,0.14,0.06,0.092,0.04069397989875161,25
11,3.0103071689605714,0.6764063963294757,0.0028951168060302734,0.0005806720983546835,0.001,optimal,squared_error,elasticnet,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'squared_error', 'penalty': 'elasticnet'}",0.11,0.1,0.1,0.02,0.13,0.09200000000000001,0.037629775444453555,24
12,0.7251655578613281,0.16970765764565066,0.0021985530853271484,0.0006046930401582478,0.001,optimal,huber,l2,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'huber', 'penalty': 'l2'}",0.56,0.45,0.42,0.26,0.62,0.462,0.12432216214336043,5
13,0.46023359298706057,0.06508946398153788,0.0022658348083496095,0.0002959917103018016,0.001,optimal,huber,l1,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'huber', 'penalty': 'l1'}",0.56,0.64,0.57,0.72,0.68,0.6340000000000001,0.061838499334961224,2
14,0.8607995510101318,0.07195976781553443,0.0021817684173583984,0.00034620246232522627,0.001,optimal,huber,elasticnet,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'huber', 'penalty': 'elasticnet'}",0.58,0.67,0.65,0.76,0.69,0.67,0.058309518948453015,1
15,1.1385750770568848,0.18283086337895801,0.0020910263061523437,0.0003461294748998114,0.001,optimal,epsilon_insensitive,l2,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",0.18,0.15,0.1,0.11,0.09,0.12599999999999997,0.03382306905057552,15
16,2.1305083274841308,0.06684692778698037,0.0023816108703613283,0.0006719618333531002,0.001,optimal,epsilon_insensitive,l1,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",0.38,0.29,0.39,0.49,0.41,0.392,0.064,6
17,2.309646463394165,0.05770572351800085,0.0023676395416259766,0.0003890363149349029,0.001,optimal,epsilon_insensitive,elasticnet,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",0.28,0.23,0.23,0.33,0.24,0.262,0.038678159211627434,9
18,0.0016820907592773437,7.05590751955553e-05,0.0,0.0,0.001,invscaling,squared_error,l2,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'l2'}",,,,,,,,28
19,0.001711416244506836,9.395003832313321e-05,0.0,0.0,0.001,invscaling,squared_error,l1,"{'alpha': 0.001, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'l1'}",,,,,,,,28
